,name,display_name,short_description,description,created_by,released,created_at,updated_at,featured
0,liko-12,LIKO-12,LIKO-12 is an open source fantasy computer made using LÖVE.,"LIKO-12 is an open source fantasy computer completely written in the Lua programming language where you can make, play and share tiny retro-looking games and programs.",Rami Sabbagh,,2017-09-30T07:04:42Z,2021-03-03T11:45:47Z,False
1,basic8,BASIC8,"BASIC8 is an integrated Fantasy Computer for game, and other program development.","BASIC8 is an integrated Fantasy Computer for game, and other program development. You can create, share, and play disks in a modern BASIC dialect, with built-in tools for editing sprites, tiles, maps, and more.",Wang Renxin,,2018-08-14T19:17:07Z,2021-02-24T18:12:29Z,False
2,pixel-vision-8,Pixel Vision 8,Pixel Vision 8 is an open source fantasy game console for building authentic 8-bit games.,"Pixel Vision 8 is a platform that standardizes 8-bit fantasy console limitations built on top of an open source C# SDK. It's core philosophy is to teach retro game development with streamlined workflows. It enables designing games around limited resolutions, colors, sprites, sound, and memory. It is ideal for game jams, prototyping ideas, or having fun.",Jesse Freeman,,2018-08-14T19:17:08Z,2021-06-28T15:22:06Z,False
3,university-of-texas-arlington,The University of Texas at Arlington,"The University of Texas at Arlington is a public research university located in Arlington, Texas, United States.","UT Arlington was founded in 1895 and is the third-largest producer of college graduates in Texas and offers over 180 baccalaureate, masters, and doctoral degree programs. The Carnegie Foundation classifies UT Arlington as one of 130 universities that are ""R-1: Doctoral Universities – Highest Research Activity."" The Chronicle of Higher Education named UT Arlington one of the fastest-growing public research universities in the nation. The Center for World University Rankings places the University among the top 150 in the U.S. for best overall institution in 2018.",,,2019-08-23T19:58:24Z,2021-06-18T02:56:44Z,False
4,racing-simulator,racing-simulator,A genre of video game.,Computer software that attempts to accurately simulate auto racing.,,,2021-03-15T23:02:09Z,2021-10-11T07:45:06Z,False
5,biological-expression-language,Biological Expression Language,A domain-specific language for representing biological knowledge graphs.,"Biological Expression Language is a domain-specific language created by Dexter Pratt at Selventa for encoding qualitative causal, correlative, and associative relations between entities in biological knowledge graphs.",Dexter Pratt,2012,2017-02-05T14:22:55Z,2021-07-14T20:20:52Z,False
6,vehicle-simulator,vehicle-simulator,A genre of video game.,A genre of video games which attempt to provide the player with a realistic interpretation of operating various kinds of vehicles.,,,2017-03-29T17:44:30Z,2021-10-20T23:17:01Z,False
7,tbox,tbox,TBOX is a glib-like cross-platform C library that is simple to use yet powerful in nature.,"TBOX is a glib-like cross-platform C library that is simple yet powerful. It focuses on making C development easier and provides many modules, so that any developer can quickly pick it up and enjoy the productivity boost when developing in the C language.",ruki,"August 15, 2010",2017-06-09T13:21:01Z,2020-12-21T02:39:21Z,False
8,collectible-card-game,collectible-card-game,A genre of video game.,A strategic card game that that consists of specially designed sets of playing cards.,,,2020-02-26T23:52:12Z,2021-10-11T07:45:04Z,False
9,libcloud,Apache Libcloud,Libcloud is a free and open source Python library for interacting with many popular cloud service providers using a unified API.,"Libcloud is a Python library that abstracts away the differences among multiple cloud provider APIs. It allows users to manage cloud services (servers, storage, load balancers, DNS, containers as a service) offered by many different providers through a single, unified, and easy to use API.",Apache Software Foundation,2009,2017-02-09T04:56:55Z,2021-11-08T09:38:17Z,False
