,name,display_name,short_description,description,created_by,released,created_at,updated_at,featured
0,liko-12,LIKO-12,LIKO-12は、LÖVEを使って作られたオープンソースのファンタジーコンピュータです。,LIKO-12は、プログラミング言語Luaで完全に書かれたオープンソースのファンタジーコンピュータで、小さなレトロ風のゲームやプログラムを作り、遊び、共有することができます。,Rami Sabbagh,,2017-09-30T07:04:42Z,2021-03-03T11:45:47Z,False
1,basic8,BASIC8,BASIC8は、ゲームなどのプログラム開発を行うための統合型ファンタジーコンピュータです。,BASIC8は、ゲームなどのプログラム開発のための統合されたファンタジーコンピュータです。スプライト、タイル、マップなどを編集するツールを内蔵し、最新のBASIC方言でディスクを作成、共有、再生することができます。,Wang Renxin,,2018-08-14T19:17:07Z,2021-02-24T18:12:29Z,False
2,pixel-vision-8,Pixel Vision 8,Pixel Vision 8は、本格的な8ビットゲームを構築するためのオープンソースのファンタジーゲーム機です。,Pixel Vision 8 は、オープンソースの C# SDK 上に構築された、8 ビットファンタジーコンソールの制限を標準化するプラットフォームです。その基本理念は、合理的なワークフローでレトロゲーム開発を教えることです。限られた解像度、色、スプライト、サウンド、メモリの中でゲームをデザインすることができます。ゲームジャム、プロトタイプのアイデア、または楽しみのために理想的です。,Jesse Freeman,,2018-08-14T19:17:08Z,2021-06-28T15:22:06Z,False
3,university-of-texas-arlington,The University of Texas at Arlington,テキサス大学アーリントン校は、米国テキサス州アーリントンにある公立の研究大学です。,"UTアーリントンは1895年に設立され、テキサス州で3番目に大卒者を輩出している大学で、180以上のバカロレア、修士、博士の学位プログラムを提供しています。カーネギー財団は、UTアーリントンを ""R-1: 博士課程大学 - 高い研究活動 ""の130大学のうちの1つに分類しています。クロニクル・オブ・ハイヤー・エデュケーション誌は、UTアーリントンを全米で最も急成長している公立研究大学のひとつに選んでいます。世界大学ランキングセンターは、2018年の総合的な教育機関として全米トップ150に本学を位置づけました。",,,2019-08-23T19:58:24Z,2021-06-18T02:56:44Z,False
4,racing-simulator,racing-simulator,ビデオゲームのジャンルの一つ。,自動車レースの正確なシミュレーションを試みるコンピューターソフトウェア。,,,2021-03-15T23:02:09Z,2021-10-11T07:45:06Z,False
5,biological-expression-language,Biological Expression Language,生物学的知識グラフを表現するためのドメイン特化型言語。,生物学的表現言語は、SelventaのDexter Prattによって作成されたドメイン固有の言語で、生物学的知識グラフにおけるエンティティ間の定性的な因果関係、相関関係、および連想関係を符号化するためのものである。,Dexter Pratt,2012,2017-02-05T14:22:55Z,2021-07-14T20:20:52Z,False
6,vehicle-simulator,vehicle-simulator,ビデオゲームのジャンルの一つ。,様々な乗り物の操作をリアルに再現したビデオゲームのジャンル。,,,2017-03-29T17:44:30Z,2021-10-20T23:17:01Z,False
7,tbox,tbox,TBOXは、glibライクなクロスプラットフォームCライブラリで、シンプルな操作性でありながら、パワフルな機能を備えています。,TBOXは、glibライクなクロスプラットフォームCライブラリで、シンプルかつパワフルなライブラリです。C言語での開発を容易にすることに重点を置き、多くのモジュールを提供しているため、どんな開発者でもすぐに手にすることができ、C言語での開発における生産性の向上を享受することができます。,ruki,"August 15, 2010",2017-06-09T13:21:01Z,2020-12-21T02:39:21Z,False
8,collectible-card-game,collectible-card-game,ビデオゲームのジャンルの一つ。,特別にデザインされたトランプのセットで構成される戦略的なカードゲームです。,,,2020-02-26T23:52:12Z,2021-10-11T07:45:04Z,False
9,libcloud,Apache Libcloud,Libcloud は、統一された API を使って多くの一般的なクラウドサービスプロバイダーと対話するための、フリーでオープンソースの Python ライブラリです。,Libcloudは、複数のクラウドプロバイダーAPI間の差異を抽象化するPythonライブラリです。Libcloudを使えば、さまざまなプロバイダが提供するクラウドサービス（サーバ、ストレージ、ロードバランサ、DNS、Containers as a Service）を、統一された使いやすい一つのAPIで管理することができるようになります。,Apache Software Foundation,2009,2017-02-09T04:56:55Z,2021-11-08T09:38:17Z,False
